2023-04-22 02:37:21.632 [info] Deleted from disk esbenp.prettier-vscode /Users/mickey/.vscode/extensions/esbenp.prettier-vscode-9.10.4
2023-04-22 03:14:53.121 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 04:34:56.134 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 04:37:16.719 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 04:59:21.466 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 05:16:06.503 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 05:34:02.516 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 05:50:06.610 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 06:07:43.610 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 06:22:58.603 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 06:33:00.430 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 06:37:37.490 [error] [uncaught exception in sharedProcess]: A system error occurred (read ETIMEDOUT): Error: read ETIMEDOUT
    at TLSWrap.onStreamRead (node:internal/stream_base_commons:217:20)
2023-04-22 10:09:16.851 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 10:25:46.179 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 10:41:59.036 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 10:59:46.954 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 11:06:27.254 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 11:22:53.930 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 11:41:51.752 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 12:10:30.229 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 12:26:40.152 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 12:44:23.415 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 13:00:12.589 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 13:17:04.280 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 13:33:31.239 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 13:50:50.224 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 14:06:44.032 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 14:22:57.995 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 14:39:41.858 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 14:57:13.770 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 15:14:00.540 [warning] No ptyHost heartbeat after 6 seconds
2023-04-22 15:19:54.371 [warning] No ptyHost heartbeat after 6 seconds
